name,fide_id,date_of_birth,birthplace,died,title_year,federation,gender,notes,links,latitude,longitude
"Hakobyan, Aram",13306677,2001-04-01,"Yerevan, Armenia",NA,2018,Armenia,Male,NA,https://ratings.fide.com/profile/13306677,40.1623428197002,44.4841759353568
"Harutjunyan, Gevorg",13300873,1981-05-07,"Yerevan, Armenia",NA,2009,Armenia,Male,NA,https://ratings.fide.com/profile/13300873,40.1519671860041,44.5275979325752
"Harutyunyan, Tigran K.",13303635,1997-01-15,"Yerevan, Armenia",NA,2019,Armenia,Male,NA,https://ratings.fide.com/profile/13303635,40.1515526667919,44.5057262008655
"Hovhannisyan, Robert",13302507,1991-03-23,"Yerevan, Armenia",NA,2010,Armenia,Male,NA,https://ratings.fide.com/profile/13302507,40.1543243473426,44.5165172686865
"Kotanjian, Tigran",13301250,1981-09-01,"Yerevan, Armenia",NA,2006,Armenia,Male,NA,https://ratings.fide.com/profile/13301250,40.1789233422356,44.5356335299852
"Melkumyan, Hrant",13302485,1989-04-30,"Yerevan, Armenia",NA,2008,Armenia,Male,IM,https://ratings.fide.com/profile/13302485,40.2013097142365,44.5422861109971
"Mikaelyan, Arman",13304852,1996-11-25,"Yerevan, Armenia",NA,2017,Armenia,Male,NA,https://ratings.fide.com/profile/13304852,40.1521205206432,44.4882993394061
"Minasian, Artashes",13300040,1967-01-21,"Yerevan, Armenia",NA,1992,Armenia,Male,NA,https://ratings.fide.com/profile/13300040,40.1579716558831,44.508269680065
"Movsziszian, Karen",13301152,1963-01-06,"Yerevan, Armenia",NA,1994,Armenia,Male,NA,https://ratings.fide.com/profile/13301152,40.1835347060144,44.499133151818
"Nalbandian, Tigran",13300245,1975-06-05,"Yerevan, Armenia",NA,2004,Armenia,Male,NA,https://ratings.fide.com/profile/13300245,40.2014923002089,44.4929598576826
"Petrosian, Arshak B.",13300288,1953-12-16,"Yerevan, Armenia",NA,1984,Armenia,Male,NA,https://ratings.fide.com/profile/13300288,40.1679374591757,44.5413810161612
"Petrosian, Davit G.",13301349,1984-09-20,"Yerevan, Armenia",NA,2009,Armenia,Male,NA,https://ratings.fide.com/profile/13301349,40.1974312590419,44.4896550945164
"Petrosian, Tigran L.",13301616,1984-09-17,"Yerevan, Armenia",NA,2004,Armenia,Male,NA,https://ratings.fide.com/profile/13301616,40.1532975434309,44.5247958352434
"Sargissian, Gabriel",13300881,1983-09-03,"Yerevan, Armenia",NA,2002,Armenia,Male,NA,https://ratings.fide.com/profile/13300881,40.1680507126853,44.4854906838079
"Sargsyan, Shant",13306766,2002-01-27,"Yerevan, Armenia",NA,2019,Armenia,Male,NA,https://ratings.fide.com/profile/13306766,40.1561073268421,44.5223930151918
"Simonian, Hrair",13302337,1991-01-08,"Yerevan, Armenia",NA,2009,Armenia,Male,IM,https://ratings.fide.com/profile/13302337,40.1707497420285,44.5077329146647
"Yegiazarian, Arsen",13300520,1970-06-18,"Yerevan, Armenia",2020-04-20,2001,Armenia,Male,[obit 51],https://ratings.fide.com/profile/13300520,40.1745685867343,44.5414803675999
Zhao Zong-Yuan,3202534,1986-06-26,"Beijing, China",NA,2008,Australia,Male,NA,https://ratings.fide.com/profile/3202534,40.1980296062657,116.433303919929
"Smerdon, David C.",3202305,1984-09-17,Brisbane,NA,2009,Australia,Male,NA,https://ratings.fide.com/profile/3202305,-27.4611369430236,153.043255827256
"Ly, Moulthun",3204405,1991-11-20,Cambodia,NA,2016,Australia,Male,NA,https://ratings.fide.com/profile/3204405,3.99449545311997,-73.1025372559769
"Smirnov, Anton",3208923,2001-01-28,Canberra,NA,2017,Australia,Male,NA,https://ratings.fide.com/profile/3208923,-35.3055188310139,149.129003681481
"Tan, Justin",3206882,1997-03-19,Cardiff,NA,2018,Australia,Male,NA,https://ratings.fide.com/profile/3206882,51.4764210221795,-3.2006447493143
"Cheng, Bobby",4300033,1997-03-20,Hamilton,NA,2019,Australia,Male,NA,https://ratings.fide.com/profile/4300033,43.2828900464655,-79.884373992668
"Rogers, Ian",3200019,1960-06-24,Hobart,NA,1985,Australia,Male,NA,https://ratings.fide.com/profile/3200019,-42.8697786373022,147.317444128253
"Johansen, Darryl K.",3200035,1959-02-04,Melbourne,NA,1995,Australia,Male,NA,https://ratings.fide.com/profile/3200035,-37.8058962331336,144.947752874127
"Browne, Walter",2000210,1949-01-10,Sydney,2015-06-24,1970,United States,Male,NA,https://ratings.fide.com/profile/2000210,-33.8847600405535,151.190521406833
"Illingworth, Max",3205207,1992-11-05,Sydney,NA,2016,Australia,Male,NA,https://ratings.fide.com/profile/3205207,-33.8617940896482,151.214356174202
"Kuybokarov, Temur",14203049,2000-07-22,Tashkent,NA,2019,Australia,Male,NA,https://ratings.fide.com/profile/14203049,41.3111645963959,69.2720486666907
"Balinov, Ilia",1610201,1966-07-28,Batak,NA,1999,Austria,Male,NA,https://ratings.fide.com/profile/1610201,40.9885264302028,34.4798719065118
"Diermair, Andreas",1612468,1986-09-29,Deutschlandsberg,NA,2018,Austria,Male,NA,https://ratings.fide.com/profile/1612468,46.7976254708348,15.226457550298
"Ragger, Markus",1610856,1988-02-05,Klagenfurt,NA,2008,Austria,Male,NA,https://ratings.fide.com/profile/1610856,46.6252569055809,14.3349612873253
"Robatsch, Karl",1600052,1929-10-14,Klagenfurt,2000-09-19,1961,Austria,Male,NA,https://ratings.fide.com/profile/1600052,46.6400091870101,14.2954506300781
"Klinger, Josef",1600010,1967-06-06,St Johann im Pongau,NA,1988,Austria,Male,NA,https://ratings.fide.com/profile/1600010,47.2773269140627,13.3288505846867
"Blohberger, Felix",1632051,2002-08-20,Vienna,NA,2022,Austria,Male,IM,https://ratings.fide.com/profile/1632051,48.2255207039231,16.3493562188984
"Dragnev, Valentin",1634852,1999-03-05,Vienna,NA,2018,Austria,Male,NA,https://ratings.fide.com/profile/1634852,48.1941548368988,16.3499809140113
"Grunfeld, Ernst",NA,1893-11-21,Vienna,1962-04-03,1950,Austria,Male,Honorary,https://ratings.fide.com/profile/NA,48.2218492572058,16.3986508681911
"Stanec, Nikolaus",1601776,1968-04-29,Vienna,NA,2003,Austria,Male,NA,https://ratings.fide.com/profile/1601776,48.2180894989522,16.3754894324445
"Bagirov, Rufat",13400401,1979-10-10,"Baku, Azerbaijan",NA,2002,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400401,40.388081156135,49.8438091644038
"Sadikhov, Ulvi",13401416,1998-11-23,"Baku, Azerbaijan",NA,2019,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401416,40.3810232103601,49.8402975909643
"Abasov, Nijat",13402960,1995-05-14,"Baku, Azerbaijan",NA,2011,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13402960,40.3499684501332,49.8612840183637
"Abbasov, Farid",13400665,1979-01-31,"Baku, Azerbaijan",NA,2007,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400665,40.3514194187321,49.8473153747803
"Agaragimov, Djakhangir",13401718,1986-12-05,"Baku, Azerbaijan",NA,2014,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401718,40.3487207400179,49.8237486819782
"Asadli, Vugar",13405764,2001-10-09,"Baku, Azerbaijan",NA,2019,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13405764,40.3965505773839,49.8268026613955
